"InventoryID","ISO6393","Glottocode","Source","phonemes","consonants","vowels","tones"
138,"wol","nucl1347","spa",40,26,14,0
139,"dag","dagb1246","spa",37,24,11,2
140,"aka","akan1250","spa",40,22,15,3
141,"gaa","gaaa1244","spa",47,32,12,3
142,"ewe","ewee1241","spa",45,28,14,3
143,"ibo","nucl1417","spa",65,46,16,3
144,"beq","beem1239","spa",41,19,20,2
145,"swh","swah1253","spa",36,31,5,0
146,"lue","luva1239","spa",36,22,10,4
147,"zul","zulu1248","spa",43,35,5,3
148,"gbp","gbay1287","spa",45,31,12,2
149,"ses","koyr1242","spa",48,33,15,0
150,"knc","cent2050","spa",35,25,6,4
151,"lgg","lugb1240","spa",42,26,13,3
152,"fia","nobi1240","spa",45,33,10,2
153,"luo","luok1236","spa",35,23,9,3
154,"mas","masa1300","spa",43,21,18,4
155,"naq","nama1265","spa",33,19,8,6
156,"gle","iris1253","spa",68,44,24,0
157,"bre","bret1244","spa",42,25,17,0
158,"isl","icel1247","spa",39,23,16,0
159,"nob","norw1259","spa",48,27,19,2
160,"eng","stan1293","spa",40,27,13,0
161,"deu","stan1295","spa",39,23,16,0
162,"fra","stan1290","spa",40,23,17,0
163,"por","port1283","spa",38,23,15,0
164,"spa","stan1288","spa",25,20,5,0
165,"ron","roma1327","spa",31,22,9,0
166,"rus","russ1263","spa",38,33,5,0
167,"bul","bulg1262","spa",49,37,12,0
168,"lit","lith1251","spa",47,36,11,0
169,"als","tosk1239","spa",35,28,7,0
170,"ell","mode1248","spa",26,21,5,0
171,"hye","nucl1235","spa",37,30,7,0
172,"pes","west2369","spa",30,24,6,0
173,"pst","cent1973","spa",38,31,7,0
174,"kas","kash1277","spa",56,27,29,0
175,"pan","panj1256","spa",73,50,20,3
176,"hin","hind1269","spa",94,71,23,0
177,"ben","beng1280","spa",53,36,17,0
178,"sin","sinh1246","spa",53,37,16,0
179,"eus","basq1248","spa",28,23,5,0
180,"fin","finn1318","spa",42,25,17,0
181,"mhr","east2328","spa",34,25,9,0
182,"kpv","komi1268","spa",36,29,7,0
183,"hun","hung1274","spa",65,50,15,0
184,"kca","khan1273","spa",32,19,13,0
185,"yrk","nene1249","spa",34,26,8,0
186,"tur","nucl1301","spa",40,24,16,0
187,"azj","nort2697","spa",34,25,9,0
188,"kir","kirg1245","spa",36,20,16,0
189,"chv","chuv1255","spa",39,30,9,0
190,"sah","yaku1245","spa",49,33,16,0
191,"khk","halh1238","spa",35,21,14,0
192,"eve","even1260","spa",36,18,18,0
193,"ykg","nort2745","spa",32,20,12,0
194,"niv","gily1242","spa",44,34,10,0
195,"ckt","chuk1273","spa",22,15,7,0
196,"ain","ainu1240","spa",17,12,5,0
197,"jpn","nucl1643","spa",40,27,11,2
198,"aal","afad1236","upsid",36,27,9,NA
199,"acv","achu1247","upsid",23,17,6,NA
200,"adz","adze1240","upsid",25,18,7,NA
201,"aer","east2379","upsid",30,27,3,NA
202,"aey","amel1241","upsid",20,15,5,NA
203,"agm","anga1290","upsid",21,12,9,NA
204,"agq","aghe1239","upsid",35,25,10,NA
205,"ahp","apro1235","upsid",33,24,9,NA
206,"aht","ahte1237","upsid",35,30,5,NA
207,"ain","ainu1240","upsid",16,11,5,NA
208,"aka","akan1250","upsid",35,21,14,NA
209,"ake","akaw1239","upsid",23,13,10,NA
210,"akz","alab1237","upsid",17,14,3,NA
211,"alc","qawa1238","upsid",19,16,3,NA
212,"ald","alla1248","upsid",36,25,11,NA
213,"ale","aleu1260","upsid",27,24,3,NA
214,"alh","alaw1244","upsid",26,22,4,NA
215,"als","tosk1239","upsid",35,28,7,NA
216,"amc","amah1246","upsid",22,14,8,NA
217,"ame","yane1238","upsid",26,23,3,NA
218,"amf","hame1242","upsid",35,25,10,NA
219,"amh","amha1245","upsid",37,30,7,NA
220,"amo","amoo1242","upsid",35,25,10,NA
221,"amp","alam1246","upsid",25,18,7,NA
222,"amu","guer1243","upsid",37,25,12,NA
223,"anc","ngas1240","upsid",43,32,11,NA
224,"ano","ando1256","upsid",26,11,15,NA
225,"ant","anta1253","upsid",20,17,3,NA
226,"apn","apin1244","upsid",30,13,17,NA
227,"apq","apuc1241","upsid",24,16,8,NA
228,"aqc","arch1244","upsid",91,81,10,NA
229,"arl","arab1268","upsid",18,11,7,NA
230,"arn","mapu1245","upsid",26,20,6,NA
231,"arz","egyp1253","upsid",35,27,8,NA
232,"auc","waor1240","upsid",21,11,10,NA
233,"ava","avar1256","upsid",49,44,5,NA
234,"awn","awng1244","upsid",35,28,7,NA
235,"axb","abip1241","upsid",20,15,5,NA
236,"azj","nort2697","upsid",33,24,9,NA
237,"bak","bash1264","upsid",38,27,11,NA
238,"bam","bamb1269","upsid",35,21,14,NA
239,"bao","waim1255","upsid",23,11,12,NA
240,"bba","baat1238","upsid",30,18,12,NA
241,"bbc","bata1289","upsid",21,16,5,NA
242,"bbl","bats1242","upsid",45,35,10,NA
243,"bbo","nort2819","upsid",33,21,12,NA
244,"bca","cent2004","upsid",29,18,11,NA
245,"bcj","bard1255","upsid",24,17,7,NA
246,"bcs","kohu1244","upsid",38,28,10,NA
247,"bdl","indo1317","upsid",32,26,6,NA
248,"xjb","twee1234","upsid",16,12,4,NA
249,"bej","beja1238","upsid",26,21,5,NA
250,"ben","beng1280","upsid",43,29,14,NA
251,"beq","beem1239","upsid",26,16,10,NA
252,"bev","dalo1238","upsid",37,24,13,NA
253,"bib","biss1248","upsid",24,18,6,NA
254,"bkq","baka1277","upsid",29,17,12,NA
255,"blc","bell1243","upsid",31,28,3,NA
256,"bmr","muin1242","upsid",28,22,6,NA
257,"bom","bero1242","upsid",29,22,7,NA
258,"bor","boro1282","upsid",20,13,7,NA
259,"brb","lave1249","upsid",31,22,9,NA
260,"bre","bret1244","upsid",45,25,20,NA
261,"brh","brah1256","upsid",33,24,9,NA
262,"brv","west2397","upsid",42,20,22,NA
263,"brx","bodo1269","upsid",21,15,6,NA
264,"bsk","buru1296","upsid",43,38,5,NA
265,"bul","bulg1262","upsid",42,36,6,NA
266,"bvr","bura1267","upsid",21,16,5,NA
267,"byx","qaqe1238","upsid",22,14,8,NA
268,"bzd","brib1243","upsid",27,18,9,NA
269,"cad","cadd1256","upsid",23,20,3,NA
270,"cag","niva1238","upsid",28,22,6,NA
271,"caq","carn1240","upsid",25,16,9,NA
272,"car","gali1262","upsid",22,16,6,NA
273,"cbi","chac1249","upsid",28,24,4,NA
274,"cbn","nyah1250","upsid",50,26,24,NA
275,"cbv","cacu1241","upsid",22,12,10,NA
276,"cdo","mind1253","upsid",21,14,7,NA
277,"cha","cham1312","upsid",26,20,6,NA
278,"chp","chip1261","upsid",52,38,14,NA
279,"chq","quio1240","upsid",41,26,15,NA
280,"chr","cher1273","upsid",17,11,6,NA
281,"chv","chuv1255","upsid",30,21,9,NA
282,"cja","west2650","upsid",32,21,11,NA
283,"cjh","uppe1439","upsid",34,30,4,NA
284,"cjv","chua1250","upsid",17,12,5,NA
285,"ckt","chuk1273","upsid",22,15,7,NA
286,"cmn","mand1415","upsid",32,25,7,NA
287,"cnh","haka1240","upsid",52,45,7,NA
288,"cni","asha1243","upsid",19,15,4,NA
289,"con","cofa1242","upsid",35,30,5,NA
290,"cou","wame1240","upsid",46,39,7,NA
291,"cqd","chua1256","upsid",56,46,10,NA
292,"crb","isla1278","upsid",27,16,11,NA
293,"ctd","tedi1235","upsid",26,21,5,NA
294,"ctp","west2644","upsid",25,16,9,NA
295,"cub","cube1242","upsid",23,11,12,NA
296,"cyb","cayu1262","upsid",33,17,16,NA
297,"daa","dang1274","upsid",28,21,7,NA
298,"daf","dann1241","upsid",39,19,20,NA
299,"dag","dagb1246","upsid",29,23,6,NA
300,"daj","darf1239","upsid",30,24,6,NA
301,"dal","daha1245","upsid",59,54,5,NA
302,"njz","nyis1236","upsid",24,15,9,NA
303,"dbl","dyir1250","upsid",16,13,3,NA
304,"deu","stan1295","upsid",41,22,19,NA
305,"dif","dier1241","upsid",25,22,3,NA
306,"dih","kumi1248","upsid",34,25,9,NA
307,"dip","nort2815","upsid",32,19,13,NA
308,"dni","lowe1415","upsid",24,12,12,NA
309,"doc","nort2735","upsid",27,20,7,NA
310,"dow","doya1240","upsid",34,22,12,NA
311,"dru","ruka1240","upsid",27,23,4,NA
312,"dta","daur1238","upsid",29,22,7,NA
313,"dts","toro1252","upsid",28,16,12,NA
314,"duj","dhuw1249","upsid",23,20,3,NA
315,"dyo","jola1263","upsid",29,19,10,NA
316,"efi","efik1245","upsid",20,13,7,NA
317,"ekg","ekar1243","upsid",15,10,5,NA
318,"ell","mode1248","upsid",26,21,5,NA
319,"ess","cent2128","upsid",36,32,4,NA
320,"etu","ejag1239","upsid",27,20,7,NA
321,"eus","basq1248","upsid",28,23,5,NA
322,"eve","even1260","upsid",27,17,10,NA
323,"ewe","ewee1241","upsid",40,26,14,NA
324,"ewo","ewon1239","upsid",34,26,8,NA
325,"eya","eyak1241","upsid",45,32,13,NA
326,"faa","fasu1242","upsid",21,11,10,NA
327,"fia","nobi1240","upsid",21,16,5,NA
328,"fij","fiji1243","upsid",30,19,11,NA
329,"fin","finn1318","upsid",25,17,8,NA
330,"fmp","fefe1239","upsid",25,17,8,NA
331,"fra","stan1290","upsid",37,21,16,NA
332,"fun","fuln1247","upsid",30,18,12,NA
333,"fvr","furr1244","upsid",30,19,11,NA
334,"fwa","fwai1237","upsid",35,19,16,NA
335,"gaa","gaaa1244","upsid",41,29,12,NA
336,"gaj","gads1258","upsid",15,9,6,NA
337,"wrk","gara1269","upsid",22,19,3,NA
338,"gbp","gbay1287","upsid",43,31,12,NA
339,"gbr","gbag1258","upsid",26,20,6,NA
340,"gqu","qaua1234","upsid",43,31,12,NA
341,"gld","nana1257","upsid",24,18,6,NA
342,"gle","iris1253","upsid",69,45,24,NA
343,"dwr","dawr1236","upsid",29,24,5,NA
344,"guc","wayu1243","upsid",26,14,12,NA
345,"gug","para1311","upsid",36,24,12,NA
346,"guh","guah1255","upsid",29,17,12,NA
347,"gum","guam1248","upsid",24,18,6,NA
348,"guq","ache1246","upsid",21,11,10,NA
349,"gvn","kuku1273","upsid",16,13,3,NA
350,"hak","hakk1236","upsid",22,16,6,NA
351,"hau","haus1257","upsid",38,31,7,NA
352,"haw","hawa1245","upsid",13,8,5,NA
353,"hdn","nort2938","upsid",49,46,3,NA
354,"hin","hind1269","upsid",61,40,21,NA
355,"hix","hixk1239","upsid",23,18,5,NA
356,"hop","hopi1249","upsid",28,22,6,NA
357,"hts","hadz1240","upsid",62,57,5,NA
358,"hun","hung1274","upsid",40,26,14,NA
359,"hup","hupa1239","upsid",35,28,7,NA
360,"hus","huas1242","upsid",26,21,5,NA
361,"huv","sanm1287","upsid",29,23,6,NA
362,"hye","nucl1235","upsid",36,30,6,NA
363,"iai","iaai1238","upsid",52,36,16,NA
364,"iba","iban1264","upsid",25,19,6,NA
365,"ibo","nucl1417","upsid",59,43,16,NA
366,"ign","igna1246","upsid",25,21,4,NA
367,"ijc","izon1238","upsid",37,19,18,NA
368,"ikx","ikkk1242","upsid",44,31,13,NA
369,"irh","irar1238","upsid",19,12,7,NA
370,"irk","iraq1241","upsid",45,33,12,NA
371,"irn","iran1263","upsid",39,21,18,NA
372,"iso","isok1239","upsid",37,28,9,NA
373,"itl","itel1242","upsid",32,27,5,NA
374,"ito","iton1250","upsid",25,19,6,NA
375,"ium","iumi1238","upsid",41,33,8,NA
376,"ivv","ivat1242","upsid",23,19,4,NA
377,"iwm","iwam1256","upsid",17,11,6,NA
378,"jac","popt1235","upsid",32,27,5,NA
379,"jao","yany1243","upsid",32,29,3,NA
380,"jav","java1254","upsid",29,21,8,NA
381,"jeb","jebe1250","upsid",23,19,4,NA
382,"jic","toll1241","upsid",28,22,6,NA
383,"jiv","shua1257","upsid",23,15,8,NA
384,"jpn","nucl1643","upsid",20,15,5,NA
385,"jqr","jaqa1244","upsid",39,36,3,NA
386,"jru","japr1238","upsid",24,12,12,NA
387,"kac","kach1280","upsid",30,25,5,NA
388,"kal","kala1399","upsid",22,19,3,NA
389,"kas","kash1277","upsid",55,27,28,NA
390,"kat","nucl1302","upsid",34,28,6,NA
391,"kbd","kaba1278","upsid",56,49,7,NA
392,"kbh","cams1241","upsid",28,22,6,NA
393,"kbk","gras1249","upsid",16,11,5,NA
394,"kbr","kafa1242","upsid",27,22,5,NA
395,"kbv","dera1245","upsid",17,11,6,NA
396,"kca","khan1273","upsid",32,19,13,NA
397,"kek","kekc1242","upsid",26,21,5,NA
398,"ker","kera1255","upsid",30,24,6,NA
399,"ket","kett1243","upsid",25,18,7,NA
400,"kfe","kota1263","upsid",28,23,5,NA
401,"kff","koya1251","upsid",24,19,5,NA
402,"kgp","kain1272","upsid",27,13,14,NA
403,"kha","khas1269","upsid",29,21,8,NA
404,"khb","luuu1242","upsid",31,22,9,NA
405,"khk","halh1238","upsid",33,21,12,NA
406,"khl","lusi1240","upsid",21,16,5,NA
407,"khm","cent1989","upsid",42,21,21,NA
408,"khr","khar1287","upsid",36,31,5,NA
409,"kio","kiow1266","upsid",42,22,20,NA
410,"kir","kirg1245","upsid",30,22,8,NA
411,"kjd","sout2949","upsid",19,12,7,NA
412,"kjg","khmu1256","upsid",41,23,18,NA
413,"kjq","west2632","upsid",51,39,12,NA
414,"kjs","east2516","upsid",20,15,5,NA
415,"kkw","teke1280","upsid",28,21,7,NA
416,"kla","klam1254","upsid",37,33,4,NA
417,"klu","klao1243","upsid",27,11,16,NA
418,"kmo","kwom1262","upsid",31,24,7,NA
419,"kmr","nort2641","upsid",47,30,17,NA
420,"kna","dera1248","upsid",35,24,11,NA
421,"knc","cent2050","upsid",29,23,6,NA
422,"knn","konk1267","upsid",37,19,18,NA
423,"kor","kore1280","upsid",32,21,11,NA
424,"kpk","kpan1246","upsid",34,24,10,NA
425,"kpm","koho1244","upsid",37,27,10,NA
426,"kpv","komi1268","upsid",33,26,7,NA
427,"kpy","kory1246","upsid",21,16,5,NA
428,"kpz","kups1238","upsid",26,14,12,NA
429,"kru","kuru1302","upsid",32,21,11,NA
430,"ksw","sgaw1245","upsid",36,27,9,NA
431,"ktg","kalk1246","upsid",23,20,3,NA
432,"ktz","juho1239","upsid",141,95,46,NA
433,"kun","kuna1268","upsid",26,19,7,NA
434,"kup","kuni1267","upsid",20,15,5,NA
435,"kvn","bord1248","upsid",21,16,5,NA
436,"kwd","kwai1243","upsid",21,16,5,NA
437,"kwk","kwak1269","upsid",48,42,6,NA
438,"kyh","karo1304","upsid",27,16,11,NA
439,"lbc","lakk1238","upsid",55,33,22,NA
440,"lbe","lakk1252","upsid",69,60,9,NA
441,"lef","lele1264","upsid",34,22,12,NA
442,"lgg","lugb1240","upsid",36,26,10,NA
443,"lhu","lahu1253","upsid",35,26,9,NA
444,"lit","lith1251","upsid",52,36,16,NA
445,"lkt","lako1247","upsid",36,28,8,NA
446,"lme","peve1243","upsid",38,30,8,NA
447,"lui","luis1253","upsid",26,21,5,NA
448,"luo","luok1236","upsid",32,23,9,NA
449,"lut","lush1252","upsid",37,33,4,NA
450,"maq","chiq1250","upsid",33,25,8,NA
451,"mas","masa1300","upsid",28,19,9,NA
452,"maz","cent2144","upsid",60,45,15,NA
453,"mbl","maxa1247","upsid",20,10,10,NA
454,"mcu","came1252","upsid",25,19,6,NA
455,"mdd","mbum1254","upsid",38,30,8,NA
456,"mde","maba1277","upsid",29,22,7,NA
457,"mdx","dizi1235","upsid",30,24,6,NA
458,"mfc","mbaa1245","upsid",31,24,7,NA
459,"mhj","mogh1245","upsid",29,24,5,NA
460,"mhr","east2328","upsid",33,25,8,NA
461,"mig","sanm1295","upsid",25,15,10,NA
462,"mjg","tuuu1240","upsid",28,23,5,NA
463,"mnc","manc1252","upsid",25,18,7,NA
464,"moq","morb1239","upsid",19,14,5,NA
465,"mor","moro1285","upsid",29,22,7,NA
466,"mpb","mull1237","upsid",19,14,5,NA
467,"mph","maun1240","upsid",22,17,5,NA
468,"mps","dadi1250","upsid",23,13,10,NA
469,"mqs","west2600","upsid",23,17,6,NA
470,"mrt","marg1265","upsid",34,30,4,NA
471,"mrw","mara1404","upsid",17,13,4,NA
472,"mto","toto1305","upsid",23,14,9,NA
473,"mur","murl1244","upsid",26,21,5,NA
474,"mwf","murr1258","upsid",25,21,4,NA
475,"mwp","kala1377","upsid",24,18,6,NA
476,"mya","nucl1310","upsid",46,33,13,NA
477,"myp","pira1253","upsid",11,8,3,NA
478,"mzm","nucl1240","upsid",34,23,11,NA
479,"mzp","movi1243","upsid",23,18,5,NA
480,"nab","sout2994","upsid",43,25,18,NA
481,"nan","minn1241","upsid",25,19,6,NA
482,"naq","nama1264","upsid",41,32,9,NA
483,"nas","naas1242","upsid",13,8,5,NA
484,"nav","nava1243","upsid",47,31,16,NA
485,"nxq","naxi1245","upsid",49,38,11,NA
486,"ncj","nort2957","upsid",20,16,4,NA
487,"ndv","ndut1239","upsid",34,27,7,NA
488,"nep","east1436","upsid",39,27,12,NA
489,"new","newa1246","upsid",32,24,8,NA
490,"nez","nezp1238","upsid",30,25,5,NA
491,"ngi","ngiz1242","upsid",40,34,6,NA
492,"nhu","noon1243","upsid",33,19,14,NA
493,"nie","niel1243","upsid",36,23,13,NA
494,"nio","ngan1291","upsid",29,20,9,NA
495,"nir","nucl1633","upsid",18,12,6,NA
496,"niv","gily1242","upsid",35,28,7,NA
497,"njo","aona1235","upsid",20,14,6,NA
498,"nmu","nort2952","upsid",23,17,6,NA
499,"nob","norw1259","upsid",46,22,24,NA
500,"nuk","nuuc1236","upsid",42,37,5,NA
501,"nrb","nara1262","upsid",22,17,5,NA
502,"nut","nung1283","upsid",32,21,11,NA
503,"nuy","nung1290","upsid",23,19,4,NA
504,"nyi","amas1236","upsid",25,18,7,NA
505,"nyp","nyan1313","upsid",25,18,7,NA
506,"oca","ocai1244","upsid",34,25,9,NA
507,"ogb","ogbi1239","upsid",34,24,10,NA
508,"ojg","east2542","upsid",27,16,11,NA
509,"ood","toho1245","upsid",24,19,5,NA
510,"oru","ormu1247","upsid",31,25,6,NA
511,"pac","paco1243","upsid",33,18,15,NA
512,"pay","pech1241","upsid",28,18,10,NA
513,"pbb","paez1247","upsid",37,29,8,NA
514,"pbh","enap1235","upsid",25,12,13,NA
515,"pcc","bouy1240","upsid",34,23,11,NA
516,"pes","west2369","upsid",30,24,6,NA
517,"plt","plat1254","upsid",25,21,4,NA
518,"pom","sout2982","upsid",32,27,5,NA
519,"pon","pohn1238","upsid",20,14,6,NA
520,"prk","para1301","upsid",77,34,43,NA
521,"pst","cent1973","upsid",38,31,7,NA
522,"pwn","paiw1248","upsid",26,22,4,NA
523,"pww","pwon1235","upsid",37,25,12,NA
524,"quh","sout2991","upsid",36,31,5,NA
525,"qui","quil1240","upsid",37,33,4,NA
526,"rgr","resi1247","upsid",35,30,5,NA
527,"ron","roma1327","upsid",32,22,10,NA
528,"roo","roto1249","upsid",11,6,5,NA
529,"rro","waim1251","upsid",14,9,5,NA
530,"rus","russ1263","upsid",38,33,5,NA
531,"rut","rutu1240","upsid",64,59,5,NA
532,"sad","sand1273","upsid",54,47,7,NA
533,"sag","sang1328","upsid",37,26,11,NA
534,"sah","yaku1245","upsid",34,22,12,NA
535,"sed","seda1262","upsid",55,41,14,NA
536,"see","sene1264","upsid",19,11,8,NA
537,"sef","ceba1235","upsid",36,24,12,NA
538,"sel","selk1253","upsid",34,18,16,NA
539,"ses","koyr1242","upsid",24,15,9,NA
540,"set","nucl1632","upsid",17,10,7,NA
541,"shb","nina1238","upsid",25,13,12,NA
542,"shi","tach1250","upsid",31,28,3,NA
543,"shs","shus1248","upsid",44,37,7,NA
544,"sht","shas1239","upsid",21,17,4,NA
545,"sin","sinh1246","upsid",36,22,14,NA
546,"sja","epen1239","upsid",31,17,14,NA
547,"skd","sout2985","upsid",21,15,6,NA
548,"slc","sali1298","upsid",32,22,10,NA
549,"sma","sout2674","upsid",45,39,6,NA
550,"snn","sion1247","upsid",30,18,12,NA
551,"snv","saba1265","upsid",26,19,7,NA
552,"som","soma1255","upsid",32,22,10,NA
553,"spa","stan1288","upsid",25,20,5,NA
554,"spl","sele1250","upsid",21,15,6,NA
555,"sqt","soqo1240","upsid",34,28,6,NA
556,"srq","siri1273","upsid",28,16,12,NA
557,"ntu","natu1246","upsid",47,30,17,NA
558,"sue","suen1241","upsid",18,13,5,NA
559,"svs","savo1255","upsid",22,17,5,NA
560,"swi","suii1243","upsid",54,47,7,NA
561,"taj","east2347","upsid",29,19,10,NA
562,"tay","atay1247","upsid",26,19,7,NA
563,"tba","aika1237","upsid",32,22,10,NA
564,"tbi","gaam1241","upsid",33,24,9,NA
565,"tca","ticu1245","upsid",29,18,11,NA
566,"tcy","tulu1258","upsid",37,24,13,NA
567,"teh","tehu1242","upsid",35,28,7,NA
568,"tel","telu1262","upsid",43,32,11,NA
569,"tem","timn1235","upsid",25,17,8,NA
570,"teq","nucl1339","upsid",25,18,7,NA
571,"tet","tetu1245","upsid",19,14,5,NA
572,"tgc","tiga1245","upsid",17,12,5,NA
573,"tgl","taga1270","upsid",23,18,5,NA
574,"tha","thai1261","upsid",30,21,9,NA
575,"thv","taha1241","upsid",37,25,12,NA
576,"tig","tigr1270","upsid",33,26,7,NA
577,"tiw","tiwi1244","upsid",26,22,4,NA
578,"tiy","tiru1241","upsid",22,16,6,NA
579,"tli","tlin1245","upsid",48,43,5,NA
580,"tlo","talo1250","upsid",21,14,7,NA
581,"tma","tama1331","upsid",30,21,9,NA
