"ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code"
"jiv","Shuar","South America",-3.45136,-78.1892,"shua1257","jiv"
"bao","Waimaha","South America",0.30416,-70.1644,"waim1255","bao"
"tca","Ticuna","South America",-3.66289,-69.8723,"ticu1245","tca"
"car","Galibi Carib","South America",5.83772,-56.8323,"gali1262","car"
"oca","Ocaina","South America",-2.159,-72.1422,"ocai1244","oca"
"srq","Sirionó","South America",-15.5298,-63.9688,"siri1273","srq"
"gug","Paraguayan Guaraní","South America",-25.60551,-57.08816,"para1311","gug"
"amc","Amahuaca","South America",-10.2012,-72.3208,"amah1246","amc"
"cao","Chácobo","South America",-12.133,-66.7164,"chac1251","cao"
"apn","Apinayé","South America",-6.10774,-47.6315,"apin1244","apn"
"rif","Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber","Africa",34.916974,-3.430616,"tari1263","rif"
"hau","Hausa","Africa",11.1513,8.7804,"haus1257","hau"
"anc","Ngas","Africa",9.32042,9.46146,"ngas1240","anc"
"mrt","Marghi Central","Africa",10.93854,13.0521,"marg1265","mrt"
"som","Somali","Africa",4.778704,45.152856,"soma1255","som"
"awn","Awngi","Africa",10.9819,36.6916,"awng1244","awn"
"irk","Iraqw","Africa",-4.19948,35.2939,"iraq1241","irk"
"tig","Tigre","Africa",17.3494,38.2233,"tigr1270","tig"
"amh","Amharic","Africa",11.708182,39.543456,"amha1245","amh"
"arz","Egyptian Arabic","Africa",31,31,"egyp1253","arz"
"ary","Moroccan Arabic","Africa",32.5,-7.5,"moro1292","ary"
"mlt","Maltese","Eurasia",35.8884,14.4508,"malt1254","mlt"
"heb","Modern Hebrew","Eurasia",31.1056,35.0179,"hebr1245","heb"
"","Katcha","Africa",NA,NA,"katc1250",""
"xpe","Liberia Kpelle","Africa",6.92048,-9.96128,"libe1247","xpe"
"wol","Wolof","Africa",15.2534,-15.383,"nucl1347","wol"
"dag","Dagbani","Africa",9.64745,-0.43227,"dagb1246","dag"
"aka","Akan","Africa",6.34756,-1.33254,"akan1250","aka"
"gaa","Ga","Africa",5.65488,-0.18598,"gaaa1244","gaa"
"ewe","Ewe","Africa",6.46061,0.814975,"ewee1241","ewe"
"ibo","Igbo","Africa",4.62705,7.23441,"nucl1417","ibo"
"beq","Beembe","Africa",-3.95895,14.1,"beem1239","beq"
"swh","Swahili","Africa",-8.25605,37.624,"swah1253","swh"
"lue","Luvale","Africa",-13.5382,22.2924,"luva1239","lue"
"zul","Zulu","Africa",-25.3305,31.3512,"zulu1248","zul"
