"ID","Name","Description","SegmentClass","tone","stress","syllabic","short","long","consonantal","sonorant","continuant","delayedRelease","approximant","tap","trill","nasal","lateral","labial","round","labiodental","coronal","anterior","distributed","strident","dorsal","high","low","front","back","tense","retractedTongueRoot","advancedTongueRoot","periodicGlottalSource","epilaryngealSource","spreadGlottis","constrictedGlottis","fortis","raisedLarynxEjective","loweredLarynxImplosive","click"
"a24fafd4a1c2be8ae2f6e711a0a32a9c","r","LATIN SMALL LETTER R","consonant","0","-","-","-","-","+","+","+","0","+","-","+","-","-","-","0","0","+","+","-","-","-","0","0","0","0","0","0","0","+","-","-","-","-","-","-","-"
"cc9eee7d8f3f57bf1ed3cc993f481c04","s͈","LATIN SMALL LETTER S - COMBINING DOUBLE VERTICAL LINE BELOW","consonant","0","-","-","-","-","+","-","+","+","-","-","-","-","-","-","0","0","+","+","-","+","-","0","0","0","0","0","0","0","-","-","-","-","+","-","-","-"
"02fdb86660b332b6cc638a2c49a77d95","ʃ","LATIN SMALL LETTER ESH","consonant","0","-","-","-","-","+","-","+","+","-","-","-","-","-","-","0","0","+","-","+","+","-","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"7cadf657e8b096509b21c10672483304","ʃ͈","LATIN SMALL LETTER ESH - COMBINING DOUBLE VERTICAL LINE BELOW","consonant","0","-","-","-","-","+","-","+","+","-","-","-","-","-","-","0","0","+","-","+","+","-","0","0","0","0","0","0","0","-","-","-","-","+","-","-","-"
"4b26a1c9eda8a887be8e01530b600202","ʃʷ","LATIN SMALL LETTER ESH - MODIFIER LETTER SMALL W","consonant","0","-","-","-","-","+","-","+","+","-","-","-","-","-","+","+","-","+","-","+","+","-","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-"
"2fb583482d7a1f506dbb64c1743e9a92","ʃ͈ʷ","LATIN SMALL LETTER ESH - COMBINING DOUBLE VERTICAL LINE BELOW - MODIFIER LETTER SMALL W","consonant","0","-","-","-","-","+","-","+","+","-","-","-","-","-","+","+","-","+","-","+","+","-","0","0","0","0","0","0","0","-","-","-","-","+","-","-","-"
"9685cf3a03e4113519d697bea70a358c","t͈","LATIN SMALL LETTER T - COMBINING DOUBLE VERTICAL LINE BELOW","consonant","0","-","-","-","-","+","-","-","-","-","-","-","-","-","-","0","0","+","+","-","-","-","0","0","0","0","0","0","0","-","-","-","-","+","-","-","-"
"6f1802f0de28eba95e7d560713c8e8fe","t͈s","LATIN SMALL LETTER T - COMBINING DOUBLE VERTICAL LINE BELOW - LATIN SMALL LETTER S","consonant","0074+0073","0","-","-","-","-","+","-","-","+","-","-","-","-","-","-","0","0","+","+","-","+","-","0","0","0","0","0","0","0","-","-","-","+","-","-","-"
"3481db99d40f8162a6a046e3e7588f52","tsʰ","LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL H","consonant","0074+0073","0","-","-","-","-","+","-","-","+","-","-","-","-","-","-","0","0","+","+","-","+","-","0","0","0","0","0","0","-","-","+","-","-","-","-","-"
"8ffb73c3be1fef21b37cfb2be3e5debf","tsʰʷ","LATIN SMALL LETTER T - LATIN SMALL LETTER S - MODIFIER LETTER SMALL H - MODIFIER LETTER SMALL W","consonant","0074+0073","0","-","-","-","-","+","-","-","+","-","-","-","-","+","+","-","0","+","+","-","+","-","0","0","0","0","0","0","-","-","+","-","-","-","-","-"
