Inventory_ID,ISO639P3code,Glottocode,phonemes,consonants,vowels,tones
59,spl,sele1250,21,15,6,0
60,nas,naas1242,18,8,10,0
61,ale,aleu1260,36,30,6,0
62,kal,kala1399,38,32,6,0
63,chp,chip1261,61,39,18,4
64,tol,tolo1259,44,29,15,0
65,hup,hupa1239,42,35,7,0
66,nav,nava1243,54,36,16,2
67,hdn,nort2938,50,47,3,0
68,squ,squa1248,37,30,7,0
69,str,stra1244,43,36,7,0
70,nuk,nuuc1236,47,37,10,0
71,kwk,kwak1269,55,46,9,0
72,ojg,east2542,27,16,11,0
73,unm,unam1242,39,22,17,0
74,wic,wich1260,29,21,8,0
75,lkt,lako1247,36,27,9,0
76,see,sene1264,27,11,16,0
77,one,onei1249,22,10,12,0
78,yuc,yuch1247,64,38,26,0
79,akz,alab1237,21,15,6,0
80,tun,tuni1252,25,18,7,0
81,nez,nezp1238,36,26,10,0
82,nmu,nort2952,24,18,6,0
83,zoc,copa1236,32,26,6,0
84,top,papa1238,26,20,6,0
85,chf,taba1266,37,25,12,0
86,tzh,tzel1254,30,25,5,0
87,tsz,pure1242,32,26,6,0
88,kyh,karo1304,41,27,11,3
89,pom,sout2982,38,27,11,0
90,dih,kumi1248,34,25,9,0
91,zun,zuni1245,54,44,10,0
92,tix,sout2961,41,26,12,3
93,tew,tewa1260,57,34,19,4
94,lui,luis1253,34,23,11,0
95,hop,hopi1249,49,31,18,0
96,ood,toho1245,29,19,10,0
97,ote,mezq1235,58,42,13,3
98,maz,cent2144,63,45,15,3
99,maq,chiq1250,38,26,8,4
100,mig,sanm1295,32,19,10,3
101,cbi,chac1249,28,24,4,0
102,pbb,paez1247,39,29,10,0
103,ito,iton1250,25,19,6,0
104,quh,sout2991,37,32,5,0
105,jqr,jaqa1244,42,36,6,0
106,arn,mapu1245,26,20,6,0
107,crb,isla1278,29,17,12,0
108,wap,wapi1253,29,17,12,0
109,guc,wayu1243,46,28,18,0
110,cni,asha1243,21,17,4,0
111,ign,igna1246,25,21,4,0
112,ame,yane1238,29,23,6,0
113,jiv,shua1257,24,16,8,0
114,bao,waim1255,25,11,12,2
115,tca,ticu1245,38,18,11,9
116,car,gali1262,28,16,12,0
117,oca,ocai1244,38,27,9,2
118,srq,siri1273,28,18,10,0
119,gug,para1311,36,24,12,0
120,amc,amah1246,22,14,8,0
121,cao,chac1251,21,17,4,0
122,apn,apin1244,49,14,35,0
123,rif,tari1263,49,45,4,0
124,hau,haus1257,45,32,10,3
125,anc,ngas1240,44,30,11,3
126,mrt,marg1265,44,36,6,2
127,som,soma1255,52,30,20,2
128,awn,awng1244,39,28,7,4
129,irk,iraq1241,48,33,12,3
130,tig,tigr1270,54,47,7,0
131,amh,amha1245,59,52,7,0
132,arz,egyp1253,67,58,9,0
133,ary,moro1292,78,74,4,0
134,mlt,malt1254,55,45,10,0
135,heb,hebr1245,30,24,6,0
136,xtc,katc1250,32,23,7,2
137,xpe,libe1247,49,32,14,3
138,wol,nucl1347,40,26,14,0
139,dag,dagb1246,37,24,11,2
140,aka,akan1250,40,22,15,3
141,gaa,gaaa1244,47,32,12,3
142,ewe,ewee1241,45,28,14,3
143,ibo,nucl1417,65,46,16,3
144,beq,beem1239,41,19,20,2
145,swh,swah1253,36,31,5,0
146,lue,luva1239,36,22,10,4
147,zul,zulu1248,43,35,5,3
148,gbp,gbay1287,45,31,12,2
149,ses,koyr1242,48,33,15,0
150,knc,cent2050,35,25,6,4
151,lgg,lugb1240,42,26,13,3
152,fia,nobi1240,45,33,10,2
153,luo,luok1236,35,23,9,3
154,mas,masa1300,43,21,18,4
155,naq,nama1265,33,19,8,6
156,gle,iris1253,68,44,24,0
157,bre,bret1244,42,25,17,0
158,isl,icel1247,39,23,16,0
159,nob,norw1259,48,27,19,2
160,eng,stan1293,40,27,13,0
161,deu,stan1295,39,23,16,0
162,fra,stan1290,40,23,17,0
163,por,port1283,38,23,15,0
164,spa,stan1288,25,20,5,0
165,ron,roma1327,31,22,9,0
166,rus,russ1263,38,33,5,0
167,bul,bulg1262,49,37,12,0
168,lit,lith1251,47,36,11,0
169,als,tosk1239,35,28,7,0
170,ell,mode1248,26,21,5,0
171,hye,nucl1235,37,30,7,0
172,pes,west2369,30,24,6,0
173,pst,cent1973,38,31,7,0
174,kas,kash1277,56,27,29,0
175,pan,panj1256,73,50,20,3
176,hin,hind1269,94,71,23,0
177,ben,beng1280,53,36,17,0
178,sin,sinh1246,53,37,16,0
179,eus,basq1248,28,23,5,0
180,fin,finn1318,42,25,17,0
181,mhr,east2328,34,25,9,0
182,kpv,komi1268,36,29,7,0
183,hun,hung1274,65,50,15,0
184,kca,khan1273,32,19,13,0
185,yrk,nene1249,34,26,8,0
186,tur,nucl1301,40,24,16,0
187,azj,nort2697,34,25,9,0
188,kir,kirg1245,36,20,16,0
189,chv,chuv1255,39,30,9,0
190,sah,yaku1245,49,33,16,0
191,khk,halh1238,35,21,14,0
192,eve,even1260,36,18,18,0
193,ykg,nort2745,32,20,12,0
194,niv,gily1242,44,34,10,0
195,ckt,chuk1273,22,15,7,0
196,ain,ainu1240,17,12,5,0
197,jpn,nucl1643,40,27,11,2
198,aal,afad1236,36,27,9,NA
199,acv,achu1247,23,17,6,NA
200,adz,adze1240,25,18,7,NA
201,aer,east2379,30,27,3,NA
202,aey,amel1241,20,15,5,NA
203,agm,anga1290,21,12,9,NA
204,agq,aghe1239,35,25,10,NA
205,ahp,apro1235,33,24,9,NA
206,aht,ahte1237,35,30,5,NA
207,ain,ainu1240,16,11,5,NA
208,aka,akan1250,35,21,14,NA
209,ake,akaw1239,23,13,10,NA
210,akz,alab1237,17,14,3,NA
211,alc,qawa1238,19,16,3,NA
212,ald,alla1248,36,25,11,NA
213,ale,aleu1260,27,24,3,NA
214,alh,alaw1244,26,22,4,NA
215,als,tosk1239,35,28,7,NA
216,amc,amah1246,22,14,8,NA
217,ame,yane1238,26,23,3,NA
218,amf,hame1242,35,25,10,NA
219,amh,amha1245,37,30,7,NA
220,amo,amoo1242,35,25,10,NA
221,amp,alam1246,25,18,7,NA
222,amu,guer1243,37,25,12,NA
223,anc,ngas1240,43,32,11,NA
224,ano,ando1256,26,11,15,NA
225,ant,anta1253,20,17,3,NA
226,apn,apin1244,30,13,17,NA
227,apq,apuc1241,24,16,8,NA
228,aqc,arch1244,91,81,10,NA
229,arl,arab1268,18,11,7,NA
230,arn,mapu1245,26,20,6,NA
231,arz,egyp1253,35,27,8,NA
232,auc,waor1240,21,11,10,NA
233,ava,avar1256,49,44,5,NA
234,awn,awng1244,35,28,7,NA
235,axb,abip1241,20,15,5,NA
236,azj,nort2697,33,24,9,NA
237,bak,bash1264,38,27,11,NA
238,bam,bamb1269,35,21,14,NA
239,bao,waim1255,23,11,12,NA
240,bba,baat1238,30,18,12,NA
241,bbc,bata1289,21,16,5,NA
242,bbl,bats1242,45,35,10,NA
243,bbo,nort2819,33,21,12,NA
244,bca,cent2004,29,18,11,NA
245,bcj,bard1255,24,17,7,NA
246,bcs,kohu1244,38,28,10,NA
247,bdl,indo1317,32,26,6,NA
248,xjb,twee1234,16,12,4,NA
249,bej,beja1238,26,21,5,NA
250,ben,beng1280,43,29,14,NA
251,beq,beem1239,26,16,10,NA
252,bev,dalo1238,37,24,13,NA
253,bib,biss1248,24,18,6,NA
254,bkq,baka1277,29,17,12,NA
255,blc,bell1243,31,28,3,NA
256,bmr,muin1242,28,22,6,NA
257,bom,bero1242,29,22,7,NA
258,bor,boro1282,20,13,7,NA
259,brb,lave1249,31,22,9,NA
260,bre,bret1244,45,25,20,NA
261,brh,brah1256,33,24,9,NA
262,brv,west2397,42,20,22,NA
263,brx,bodo1269,21,15,6,NA
264,bsk,buru1296,43,38,5,NA
265,bul,bulg1262,42,36,6,NA
266,bvr,bura1267,21,16,5,NA
267,byx,qaqe1238,22,14,8,NA
268,bzd,brib1243,27,18,9,NA
269,cad,cadd1256,23,20,3,NA
270,cag,niva1238,28,22,6,NA
271,caq,carn1240,25,16,9,NA
272,car,gali1262,22,16,6,NA
273,cbi,chac1249,28,24,4,NA
274,cbn,nyah1250,50,26,24,NA
275,cbv,cacu1241,22,12,10,NA
276,cdo,mind1253,21,14,7,NA
277,cha,cham1312,26,20,6,NA
278,chp,chip1261,52,38,14,NA
279,chq,quio1240,41,26,15,NA
280,chr,cher1273,17,11,6,NA
281,chv,chuv1255,30,21,9,NA
282,cja,west2650,32,21,11,NA
283,cjh,uppe1439,34,30,4,NA
284,cjv,chua1250,17,12,5,NA
285,ckt,chuk1273,22,15,7,NA
286,cmn,mand1415,32,25,7,NA
287,cnh,haka1240,52,45,7,NA
288,cni,asha1243,19,15,4,NA
289,con,cofa1242,35,30,5,NA
290,cou,wame1240,46,39,7,NA
291,cqd,chua1256,56,46,10,NA
292,crb,isla1278,27,16,11,NA
293,ctd,tedi1235,26,21,5,NA
294,ctp,west2644,25,16,9,NA
295,cub,cube1242,23,11,12,NA
296,cyb,cayu1262,33,17,16,NA
297,daa,dang1274,28,21,7,NA
298,daf,dann1241,39,19,20,NA
299,dag,dagb1246,29,23,6,NA
300,daj,darf1239,30,24,6,NA
301,dal,daha1245,59,54,5,NA
302,njz,nyis1236,24,15,9,NA
303,dbl,dyir1250,16,13,3,NA
304,deu,stan1295,41,22,19,NA
305,dif,dier1241,25,22,3,NA
306,dih,kumi1248,34,25,9,NA
307,dip,nort2815,32,19,13,NA
308,dni,lowe1415,24,12,12,NA
309,doc,nort2735,27,20,7,NA
310,dow,doya1240,34,22,12,NA
311,dru,ruka1240,27,23,4,NA
312,dta,daur1238,29,22,7,NA
313,dts,toro1252,28,16,12,NA
314,duj,dhuw1249,23,20,3,NA
315,dyo,jola1263,29,19,10,NA
316,efi,efik1245,20,13,7,NA
317,ekg,ekar1243,15,10,5,NA
318,ell,mode1248,26,21,5,NA
319,ess,cent2128,36,32,4,NA
320,etu,ejag1239,27,20,7,NA
321,eus,basq1248,28,23,5,NA
322,eve,even1260,27,17,10,NA
323,ewe,ewee1241,40,26,14,NA
324,ewo,ewon1239,34,26,8,NA
325,eya,eyak1241,45,32,13,NA
326,faa,fasu1242,21,11,10,NA
327,fia,nobi1240,21,16,5,NA
328,fij,fiji1243,30,19,11,NA
329,fin,finn1318,25,17,8,NA
330,fmp,fefe1239,25,17,8,NA
331,fra,stan1290,37,21,16,NA
332,fun,fuln1247,30,18,12,NA
333,fvr,furr1244,30,19,11,NA
334,fwa,fwai1237,35,19,16,NA
335,gaa,gaaa1244,41,29,12,NA
336,gaj,gads1258,15,9,6,NA
337,wrk,gara1269,22,19,3,NA
338,gbp,gbay1287,43,31,12,NA
339,gbr,gbag1258,26,20,6,NA
340,gqu,qaua1234,43,31,12,NA
341,gld,nana1257,24,18,6,NA
342,gle,iris1253,69,45,24,NA
343,dwr,dawr1236,29,24,5,NA
344,guc,wayu1243,26,14,12,NA
345,gug,para1311,36,24,12,NA
346,guh,guah1255,29,17,12,NA
347,gum,guam1248,24,18,6,NA
348,guq,ache1246,21,11,10,NA
349,gvn,kuku1273,16,13,3,NA
350,hak,hakk1236,22,16,6,NA
351,hau,haus1257,38,31,7,NA
352,haw,hawa1245,13,8,5,NA
353,hdn,nort2938,49,46,3,NA
354,hin,hind1269,61,40,21,NA
355,hix,hixk1239,23,18,5,NA
356,hop,hopi1249,28,22,6,NA
357,hts,hadz1240,62,57,5,NA
358,hun,hung1274,40,26,14,NA
359,hup,hupa1239,35,28,7,NA
360,hus,huas1242,26,21,5,NA
361,huv,sanm1287,29,23,6,NA
362,hye,nucl1235,36,30,6,NA
363,iai,iaai1238,52,36,16,NA
364,iba,iban1264,25,19,6,NA
365,ibo,nucl1417,59,43,16,NA
366,ign,igna1246,25,21,4,NA
367,ijc,izon1238,37,19,18,NA
368,ikx,ikkk1242,44,31,13,NA
369,irh,irar1238,19,12,7,NA
370,irk,iraq1241,45,33,12,NA
371,irn,iran1263,39,21,18,NA
372,iso,isok1239,37,28,9,NA
373,itl,itel1242,32,27,5,NA
374,ito,iton1250,25,19,6,NA
375,ium,iumi1238,41,33,8,NA
376,ivv,ivat1242,23,19,4,NA
377,iwm,iwam1256,17,11,6,NA
378,jac,popt1235,32,27,5,NA
379,jao,yany1243,32,29,3,NA
380,jav,java1254,29,21,8,NA
381,jeb,jebe1250,23,19,4,NA
382,jic,toll1241,28,22,6,NA
383,jiv,shua1257,23,15,8,NA
384,jpn,nucl1643,20,15,5,NA
385,jqr,jaqa1244,39,36,3,NA
386,jru,japr1238,24,12,12,NA
387,kac,kach1280,30,25,5,NA
388,kal,kala1399,22,19,3,NA
389,kas,kash1277,55,27,28,NA
390,kat,nucl1302,34,28,6,NA
391,kbd,kaba1278,56,49,7,NA
392,kbh,cams1241,28,22,6,NA
393,kbk,gras1249,16,11,5,NA
394,kbr,kafa1242,27,22,5,NA
395,kbv,dera1245,17,11,6,NA
396,kca,khan1273,32,19,13,NA
397,kek,kekc1242,26,21,5,NA
398,ker,kera1255,30,24,6,NA
399,ket,kett1243,25,18,7,NA
400,kfe,kota1263,28,23,5,NA
401,kff,koya1251,24,19,5,NA
402,kgp,kain1272,27,13,14,NA
403,kha,khas1269,29,21,8,NA
404,khb,luuu1242,31,22,9,NA
405,khk,halh1238,33,21,12,NA
406,khl,lusi1240,21,16,5,NA
407,khm,cent1989,42,21,21,NA
408,khr,khar1287,36,31,5,NA
409,kio,kiow1266,42,22,20,NA
410,kir,kirg1245,30,22,8,NA
411,kjd,sout2949,19,12,7,NA
412,kjg,khmu1256,41,23,18,NA
413,kjq,west2632,51,39,12,NA
414,kjs,east2516,20,15,5,NA
415,kkw,teke1280,28,21,7,NA
416,kla,klam1254,37,33,4,NA
417,klu,klao1243,27,11,16,NA
418,kmo,kwom1262,31,24,7,NA
419,kmr,nort2641,47,30,17,NA
420,kna,dera1248,35,24,11,NA
421,knc,cent2050,29,23,6,NA
422,knn,konk1267,37,19,18,NA
423,kor,kore1280,32,21,11,NA
424,kpk,kpan1246,34,24,10,NA
425,kpm,koho1244,37,27,10,NA
426,kpv,komi1268,33,26,7,NA
427,kpy,kory1246,21,16,5,NA
428,kpz,kups1238,26,14,12,NA
429,kru,kuru1302,32,21,11,NA
430,ksw,sgaw1245,36,27,9,NA
431,ktg,kalk1246,23,20,3,NA
432,ktz,juho1239,141,95,46,NA
433,kun,kuna1268,26,19,7,NA
434,kup,kuni1267,20,15,5,NA
435,kvn,bord1248,21,16,5,NA
436,kwd,kwai1243,21,16,5,NA
437,kwk,kwak1269,48,42,6,NA
438,kyh,karo1304,27,16,11,NA
439,lbc,lakk1238,55,33,22,NA
440,lbe,lakk1252,69,60,9,NA
441,lef,lele1264,34,22,12,NA
442,lgg,lugb1240,36,26,10,NA
443,lhu,lahu1253,35,26,9,NA
444,lit,lith1251,52,36,16,NA
445,lkt,lako1247,36,28,8,NA
446,lme,peve1243,38,30,8,NA
447,lui,luis1253,26,21,5,NA
448,luo,luok1236,32,23,9,NA
449,lut,lush1252,37,33,4,NA
450,maq,chiq1250,33,25,8,NA
451,mas,masa1300,28,19,9,NA
452,maz,cent2144,60,45,15,NA
453,mbl,maxa1247,20,10,10,NA
454,mcu,came1252,25,19,6,NA
455,mdd,mbum1254,38,30,8,NA
456,mde,maba1277,29,22,7,NA
457,mdx,dizi1235,30,24,6,NA
458,mfc,mbaa1245,31,24,7,NA
459,mhj,mogh1245,29,24,5,NA
460,mhr,east2328,33,25,8,NA
461,mig,sanm1295,25,15,10,NA
462,mjg,tuuu1240,28,23,5,NA
463,mnc,manc1252,25,18,7,NA
464,moq,morb1239,19,14,5,NA
465,mor,moro1285,29,22,7,NA
466,mpb,mull1237,19,14,5,NA
467,mph,maun1240,22,17,5,NA
468,mps,dadi1250,23,13,10,NA
469,mqs,west2600,23,17,6,NA
470,mrt,marg1265,34,30,4,NA
471,mrw,mara1404,17,13,4,NA
472,mto,toto1305,23,14,9,NA
473,mur,murl1244,26,21,5,NA
474,mwf,murr1258,25,21,4,NA
475,mwp,kala1377,24,18,6,NA
476,mya,nucl1310,46,33,13,NA
477,myp,pira1253,11,8,3,NA
478,mzm,nucl1240,34,23,11,NA
479,mzp,movi1243,23,18,5,NA
480,nab,sout2994,43,25,18,NA
481,nan,minn1241,25,19,6,NA
482,naq,nama1264,41,32,9,NA
483,nas,naas1242,13,8,5,NA
484,nav,nava1243,47,31,16,NA
485,nxq,naxi1245,49,38,11,NA
486,ncj,nort2957,20,16,4,NA
487,ndv,ndut1239,34,27,7,NA
488,nep,east1436,39,27,12,NA
489,new,newa1246,32,24,8,NA
490,nez,nezp1238,30,25,5,NA
491,ngi,ngiz1242,40,34,6,NA
492,nhu,noon1243,33,19,14,NA
493,nie,niel1243,36,23,13,NA
494,nio,ngan1291,29,20,9,NA
495,nir,nucl1633,18,12,6,NA
496,niv,gily1242,35,28,7,NA
497,njo,aona1235,20,14,6,NA
498,nmu,nort2952,23,17,6,NA
499,nob,norw1259,46,22,24,NA
500,nuk,nuuc1236,42,37,5,NA
501,nrb,nara1262,22,17,5,NA
502,nut,nung1283,32,21,11,NA
503,nuy,nung1290,23,19,4,NA
504,nyi,amas1236,25,18,7,NA
505,nyp,nyan1313,25,18,7,NA
506,oca,ocai1244,34,25,9,NA
507,ogb,ogbi1239,34,24,10,NA
508,ojg,east2542,27,16,11,NA
509,ood,toho1245,24,19,5,NA
510,oru,ormu1247,31,25,6,NA
511,pac,paco1243,33,18,15,NA
512,pay,pech1241,28,18,10,NA
513,pbb,paez1247,37,29,8,NA
514,pbh,enap1235,25,12,13,NA
515,pcc,bouy1240,34,23,11,NA
516,pes,west2369,30,24,6,NA
517,plt,plat1254,25,21,4,NA
518,pom,sout2982,32,27,5,NA
519,pon,pohn1238,20,14,6,NA
520,prk,para1301,77,34,43,NA
521,pst,cent1973,38,31,7,NA
522,pwn,paiw1248,26,22,4,NA
523,pww,pwon1235,37,25,12,NA
524,quh,sout2991,36,31,5,NA
525,qui,quil1240,37,33,4,NA
526,rgr,resi1247,35,30,5,NA
527,ron,roma1327,32,22,10,NA
528,roo,roto1249,11,6,5,NA
529,rro,waim1251,14,9,5,NA
530,rus,russ1263,38,33,5,NA
531,rut,rutu1240,64,59,5,NA
532,sad,sand1273,54,47,7,NA
533,sag,sang1328,37,26,11,NA
534,sah,yaku1245,34,22,12,NA
535,sed,seda1262,55,41,14,NA
536,see,sene1264,19,11,8,NA
537,sef,ceba1235,36,24,12,NA
538,sel,selk1253,34,18,16,NA
539,ses,koyr1242,24,15,9,NA
540,set,nucl1632,17,10,7,NA
541,shb,nina1238,25,13,12,NA
542,shi,tach1250,31,28,3,NA
543,shs,shus1248,44,37,7,NA
544,sht,shas1239,21,17,4,NA
545,sin,sinh1246,36,22,14,NA
546,sja,epen1239,31,17,14,NA
547,skd,sout2985,21,15,6,NA
548,slc,sali1298,32,22,10,NA
549,sma,sout2674,45,39,6,NA
550,snn,sion1247,30,18,12,NA
551,snv,saba1265,26,19,7,NA
552,som,soma1255,32,22,10,NA
553,spa,stan1288,25,20,5,NA
554,spl,sele1250,21,15,6,NA
555,sqt,soqo1240,34,28,6,NA
556,srq,siri1273,28,16,12,NA
557,ntu,natu1246,47,30,17,NA
558,sue,suen1241,18,13,5,NA
559,svs,savo1255,22,17,5,NA
560,swi,suii1243,54,47,7,NA
561,taj,east2347,29,19,10,NA
562,tay,atay1247,26,19,7,NA
563,tba,aika1237,32,22,10,NA
564,tbi,gaam1241,33,24,9,NA
565,tca,ticu1245,29,18,11,NA
566,tcy,tulu1258,37,24,13,NA
567,teh,tehu1242,35,28,7,NA
568,tel,telu1262,43,32,11,NA
569,tem,timn1235,25,17,8,NA
570,teq,nucl1339,25,18,7,NA
571,tet,tetu1245,19,14,5,NA
572,tgc,tiga1245,17,12,5,NA
573,tgl,taga1270,23,18,5,NA
574,tha,thai1261,30,21,9,NA
575,thv,taha1241,37,25,12,NA
576,tig,tigr1270,33,26,7,NA
577,tiw,tiwi1244,26,22,4,NA
578,tiy,tiru1241,22,16,6,NA
579,tli,tlin1245,48,43,5,NA
580,tlo,talo1250,21,14,7,NA
581,tma,tama1331,30,21,9,NA
582,tml,tamn1235,17,11,6,NA
583,tna,taca1256,22,18,4,NA
584,tnl,lena1238,21,15,6,NA
585,top,papa1238,22,16,6,NA
586,tpm,tamp1252,33,24,9,NA
587,tpx,acat1239,30,20,10,NA
588,tpy,trum1247,24,18,6,NA
589,tqo,toar1246,14,8,6,NA
590,tqw,tonk1249,25,15,10,NA
591,trg,lish1246,40,24,16,NA
592,tsi,nucl1649,41,38,3,NA
593,tsu,tsou1248,21,15,6,NA
594,tsz,pure1242,39,33,6,NA
595,ttr,tera1251,48,42,6,NA
596,tun,tuni1252,24,17,7,NA
597,tur,nucl1301,33,25,8,NA
598,twf,nort1550,38,26,12,NA
599,tyv,tuvi1240,29,20,9,NA
600,tzh,tzel1254,28,22,6,NA
601,ung,ngar1284,24,18,6,NA
602,unr,mund1320,37,32,5,NA
603,uzn,nort2690,30,24,6,NA
604,vam,vani1248,28,12,16,NA
605,vie,viet1252,36,22,14,NA
606,vmb,mbab1239,24,20,4,NA
607,wao,wapp1239,35,30,5,NA
608,wap,wapi1253,25,17,8,NA
609,wba,wara1303,21,11,10,NA
610,wgi,nucl1620,23,17,6,NA
611,wic,wich1260,29,21,8,NA
612,wim,wikm1247,18,13,5,NA
613,wit,wint1259,35,30,5,NA
614,wiy,wiyo1248,29,24,5,NA
615,wnc,want1252,21,14,7,NA
616,wnu,usan1239,20,14,6,NA
617,woi,kama1365,28,16,12,NA
618,wol,nucl1347,40,26,14,NA
619,wrs,wari1266,22,13,9,NA
620,wrz,wara1290,21,16,5,NA
621,wti,bert1248,29,24,5,NA
622,wuu,wuch1236,34,25,9,NA
623,wyb,wang1291,18,15,3,NA
624,xaw,kawa1283,31,25,6,NA
625,xom,komo1258,31,23,8,NA
626,xpe,libe1247,34,22,12,NA
627,xtc,katc1249,27,22,5,NA
628,yad,yagu1244,23,11,12,NA
629,yaq,yaqu1251,22,17,5,NA
630,ycn,yucu1253,21,16,5,NA
631,yer,taro1263,32,26,6,NA
632,ygr,yaga1260,23,14,9,NA
633,yii,yidi1250,16,13,3,NA
634,ykg,nort2745,26,20,6,NA
635,ynn,yana1271,30,22,8,NA
636,yor,yoru1245,29,18,11,NA
637,yrb,yare1248,18,13,5,NA
638,yrk,nene1249,35,27,8,NA
639,yss,yess1239,20,16,4,NA
640,yua,yuca1254,30,20,10,NA
641,yuc,yuch1247,46,38,8,NA
642,yue,yuec1235,25,20,5,NA
643,yul,yulu1243,42,35,7,NA
644,yva,nucl1454,19,14,5,NA
645,zne,zand1248,35,19,16,NA
646,zoc,copa1236,22,16,6,NA
647,zul,zulu1248,37,32,5,NA
648,zun,zuni1245,25,20,5,NA
649,abi,abid1235,39,21,18,0
650,adj,adio1239,31,21,7,3
651,ajg,ajab1235,45,28,12,5
652,ajg,ajab1235,37,23,14,0
653,mtb,anyi1244,37,21,16,0
654,ahl,igoo1238,33,23,7,3
655,aka,akan1250,31,18,9,4
656,bss,akoo1248,44,22,18,4
657,anc,ngas1240,36,24,9,3
658,cko,anuf1239,43,22,19,2
659,apd,suda1236,62,54,8,0
660,avu,avok1242,55,37,14,4
661,bav,veng1238,82,56,17,9
662,bfd,bafu1246,49,21,18,10
663,bkc,baka1272,38,25,7,6
664,bam,bamb1269,43,20,21,2
665,bfl,band1345,45,32,8,5
666,bfl,band1345,46,33,10,3
667,bza,band1352,48,23,21,4
668,bci,baou1238,37,21,12,4
669,bba,baat1238,31,17,12,2
670,bas,basa1284,41,29,7,5
671,bsq,nucl1418,36,22,7,7
672,bud,ntch1242,30,21,6,3
673,btg,gagn1235,51,23,26,2
674,bkv,bekw1241,36,23,10,3
675,bom,bero1242,31,24,7,0
676,nhb,beng1286,49,24,19,6
677,bhy,bhel1238,28,19,7,2
678,beh,bial1238,27,14,10,3
679,bim,bimo1239,44,22,18,4
680,bib,biss1248,41,23,15,3
681,bbo,nort2819,40,20,18,2
682,bqc,boko1266,34,19,12,3
683,bzx,hain1253,34,20,14,0
684,bum,bulu1251,36,24,7,5
685,cme,cerm1238,46,21,21,4
686,ncu,chum1261,30,21,9,0
687,dbq,nucl1683,47,36,6,5
688,dga,sout2789,54,24,27,3
689,dgi,nort2780,41,29,9,3
690,dag,dagb1246,31,23,6,2
691,daf,dann1241,48,20,23,5
692,ada,adan1247,39,23,12,4
693,dzg,daza1242,32,21,11,0
694,luo,luok1236,38,26,9,3
695,dic,lako1244,57,27,27,3
696,dyu,dyul1238,39,23,14,2
697,tbz,dita1238,32,17,12,3
698,dow,doya1240,48,22,22,4
699,dts,toro1252,42,21,21,0
700,dua,dual1243,33,21,7,5
701,dug,duru1249,49,42,5,2
702,igb,ebir1243,31,19,9,3
703,ewe,ewee1241,42,27,12,3
704,bin,bini1246,48,25,21,2
705,eza,ezaa1238,38,27,9,2
706,etu,ejag1239,32,21,7,4
707,ema,emai1241,48,27,21,0
708,enn,enge1239,33,20,10,3
709,ewo,ewon1239,25,15,7,3
710,fmp,fefe1239,44,23,16,5
711,fon,fonn1241,42,24,14,4
712,fub,adam1253,34,24,10,0
713,fuq,cent2018,37,27,10,0
714,ffm,maas1239,37,27,10,0
715,fuh,west2454,32,27,5,0
716,flr,fuli1240,35,25,10,0
717,gaa,gaaa1244,38,24,12,2
718,gng,ngan1299,39,22,14,3
719,gya,nort2775,53,30,19,4
720,gbp,gbay1287,45,29,12,4
721,gej,genn1243,44,27,14,3
