InventoryID,FileNames,BibtexKey,LanguageName,SpecificDialect,Glottocode,LanguageCode,URI,Source,NewGlottologcode,LanguageLevelGlottocode
3179,williams2002tetun.pdf,williams2002tetun,Tetun Dili,,tetu1246,tdt,,,,
3180,vanstaderi2000tidore.pdf,vanstaderi2000tidore,Tidore,,tido1248,tvo,,,,
3181,prentice1971murut.pdf,prentice1971murut,Timugon Murut,,timu1262,tih,,,,
3182,osumi1995tirimea.pdf,osumi1995tirimea,Tiri-Mea,Tiri,tiri1258,cir,,,,
3183,lichtenberk2008toqabaqita.pdf,lichtenberk2008toqabaqita,To'abaita,,toab1237,mlu,,,,
3184,holton2003tobelo.pdf,holton2003tobelo,Tobelo,Heleworuru,tobe1252,tlb,,,,
3185,tobisa2010tobilung.pdf,tobisa2010tobilung,Tobilung,,tobi1239,tgb,,,,
3186,kuki1970tuamotuan.pdf,kuki1970tuamotuan,Tuamotuan,Tapuhoe,tuam1242,pmt,,,,
3187,hinton1991tugun.pdf,hinton1991tugun,Tugun,Tomliapat,tugu1245,tzn,,,,
3188,pearce2015unua.pdf,pearce2015unua,Unua,,unua1237,onu,,,,
3189,steinhauer2008urak.pdf,steinhauer2008urak,Urak Lawoi',Phuket Old People's dialect,urak1238,urk,,,,
3190,musgrave2007neveei.pdf,musgrave2007neveei,Neve'ei,,vinm1237,vnm,,,,
3191,"malau2016vures,pdf",malau2016vures,Vurës,,vure1239,msn,,,,
3192,hull2002waimaha.pdf,hull2002waimaha,Waima'a,Aubaca,waim1252,wmh,,,,
3193,gasser2014windesi.pdf,gasser2014windesi,Wandamen,Windesi,wand1267,wad,,,,
3194,vandenberg2008wolio.pdf,vandenberg2008wolio,Wolio,,woli1241,wlo,,,,
3195,mead2013wotu.pdf,mead2013wotu,Wotu,,wotu1240,wtw,,,,
3196,marmion2010wutung.pdf,marmion2010wutung,Wutung,,wutu1244,wut,,,,
3197,"ross2002yabem.pdf, ross1993tonogenesis.pdf","ross2002yabem, ross1993tonogenesis",Yabem,,yabe1254,jae,,,,
3198,sarvasy2017nungon.pdf,sarvasy2017nungon,Yau,Towet Nungon,yaum1237,yuw,,,,
3199,schooling1992yuanga.pdf,schooling1992yuanga,Yuaga,Gomen,yuag1237,nua,,,,
3200,kieviet2017rapanui.pdf,kieviet2017rapanui,Rapanui,,rapa1244,rap,,,,
3201,frostad2013ughele.pdf,frostad2013ughele,Ughele,,ughe1237,uge,,,,
3202,abbi2013greatandamanese.pdf,abbi2013greatandamanese,Aka-Jeru,Great Andamanese Koine,akaj1239,akj,,,,
3203,suttles2004musqueam.pdf,suttles2004musqueam,Halkomelem,Musqueam,musq1240,hur,,,,
