InventoryID,Glottocode,ISO6393,LanguageName,SpecificDialect,GlyphID,Phoneme,Allophones,Marginal,SegmentClass,Source,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click,family_id,parent_id,name,bookkeeping,level,status,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids,glottocode,isocodes,macroarea
2439,kurt1248,xkz,Kurtoep,NA,0272,ɲ,NA,FALSE,consonant,ea,0,-,-,-,-,+,+,-,0,-,-,-,+,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-,sino1245,bumt1238,Kurtokha,False,language,vulnerable,27.5365,90.9822,xkz,NA,NA,0,0,0,BT CN,kurt1248,xkz,Eurasia
2440,kara1474,kpt,Tukita,NA,006A,j,NA,FALSE,consonant,ea,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,nakh1245,andi1254,Karata,False,language,definitely endangered,42.6501,46.3151,kpt,NA,NA,0,0,2,RU,kara1474,kpt,Eurasia
2440,kara1474,kpt,Tukita,NA,00E7+02D0,çː,NA,FALSE,consonant,ea,0,-,-,-,+,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-,nakh1245,andi1254,Karata,False,language,definitely endangered,42.6501,46.3151,kpt,NA,NA,0,0,2,RU,kara1474,kpt,Eurasia
2440,kara1474,kpt,Tukita,NA,029D,ʝ,NA,FALSE,consonant,ea,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-,nakh1245,andi1254,Karata,False,language,definitely endangered,42.6501,46.3151,kpt,NA,NA,0,0,2,RU,kara1474,kpt,Eurasia
2441,norw1258,nor,Norwegian,Norwegian (Standard Østnorsk),006A,j,NA,FALSE,consonant,ea,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,indo1319,west2805,Norwegian,False,language,safe,59.92,10.71,nor,NA,NA,0,0,2,FI NO RU SE,norw1258,nor,Eurasia
2441,norw1258,nor,Norwegian,Norwegian (Standard Østnorsk),00E7,ç,NA,FALSE,consonant,ea,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-,indo1319,west2805,Norwegian,False,language,safe,59.92,10.71,nor,NA,NA,0,0,2,FI NO RU SE,norw1258,nor,Eurasia
2442,sout2679,vro,Võro,NA,006A,j,NA,FALSE,consonant,ea,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,ural1272,finn1317,South Estonian,False,language,vulnerable,57.85,27,vro,NA,NA,0,0,10,,sout2679,vro,Eurasia
2443,roma1327,ron,Romanian,Romanian (Standard),00E7,ç,NA,FALSE,consonant,ea,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-,indo1319,macr1262,Romanian,False,language,safe,46.3913,24.2256,ron,NA,NA,0,0,9,BG HU MD RO RS UA,roma1327,ron,Eurasia
2444,yaku1245,sah,Sakha,Sakha (Standard),0063+00E7,cç,NA,FALSE,consonant,ea,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,-,-,-,-,-,-,-,-,turk1311,nort2688,Sakha,False,language,vulnerable,61.6974,133.98,sah,NA,NA,0,0,0,RU,yaku1245,sah,Eurasia
2444,yaku1245,sah,Sakha,Sakha (Standard),006A,j,NA,FALSE,consonant,ea,0,-,-,-,-,-,+,+,0,+,-,-,-,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,turk1311,nort2688,Sakha,False,language,vulnerable,61.6974,133.98,sah,NA,NA,0,0,0,RU,yaku1245,sah,Eurasia
2444,yaku1245,sah,Sakha,Sakha (Standard),006A+0303,j̃,NA,FALSE,consonant,ea,0,-,-,-,-,-,+,+,0,+,-,-,+,-,-,0,0,-,0,0,0,+,+,-,+,-,+,0,0,+,-,-,-,-,-,-,-,turk1311,nort2688,Sakha,False,language,vulnerable,61.6974,133.98,sah,NA,NA,0,0,0,RU,yaku1245,sah,Eurasia
2444,yaku1245,sah,Sakha,Sakha (Standard),025F+029D,ɟʝ,NA,FALSE,consonant,ea,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,-,+,+,-,+,-,0,0,0,+,-,-,-,-,-,-,-,turk1311,nort2688,Sakha,False,language,vulnerable,61.6974,133.98,sah,NA,NA,0,0,0,RU,yaku1245,sah,Eurasia
